run,split,instance_id,resolved,steps,cost_usd,exit_status,failed_edits
20240402_sweagent_gpt4,full,astropy__astropy-14578,False,32,4.04690000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,astropy__astropy-14590,False,33,4.15727000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,astropy__astropy-14598,False,14,1.41205000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-14628,False,22,2.59692000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-14701,False,17,1.93694000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-14702,True,28,3.01733000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-14907,False,26,4.05036000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,astropy__astropy-14938,False,7,0.58986000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-14966,False,32,4.03477000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,astropy__astropy-14991,True,10,0.93047000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-14995,True,17,1.86461000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-6938,False,36,4.12644000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,astropy__astropy-7008,False,35,4.15312000,submitted (exit_cost),5
20240402_sweagent_gpt4,full,astropy__astropy-7166,True,11,1.03630000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-7218,False,14,1.32601000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-7336,True,13,1.15995000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-7441,False,30,4.03025000,submitted (exit_cost),17
20240402_sweagent_gpt4,full,astropy__astropy-7606,True,10,0.89470000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-7671,True,10,0.92150000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-7737,False,8,0.69370000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-7746,False,22,2.62626000,submitted,9
20240402_sweagent_gpt4,full,astropy__astropy-7858,False,26,3.10585000,submitted,19
20240402_sweagent_gpt4,full,astropy__astropy-7973,False,5,0.58285000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-8005,True,10,1.01086000,submitted,2
20240402_sweagent_gpt4,full,astropy__astropy-8251,False,13,1.24796000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-8263,False,19,2.73925000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-8292,False,26,2.84070000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-8339,False,8,0.76486000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-8519,False,31,4.04771000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,astropy__astropy-8707,False,34,4.10465000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,astropy__astropy-8715,False,19,2.56993000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-8747,False,33,4.03782000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,astropy__astropy-8872,False,16,1.58226000,submitted,0
20240402_sweagent_gpt4,full,django__django-10287,False,20,1.96350000,submitted,0
20240402_sweagent_gpt4,full,django__django-10390,False,15,1.41250000,submitted,0
20240402_sweagent_gpt4,full,django__django-10531,False,20,2.41595000,submitted,0
20240402_sweagent_gpt4,full,django__django-10554,False,24,3.62476000,submitted,0
20240402_sweagent_gpt4,full,django__django-10606,True,34,3.78152000,submitted,4
20240402_sweagent_gpt4,full,django__django-10643,False,11,1.05085000,submitted,0
20240402_sweagent_gpt4,full,django__django-10680,False,23,2.59348000,submitted,2
20240402_sweagent_gpt4,full,django__django-10730,True,11,0.96436000,submitted,0
20240402_sweagent_gpt4,full,django__django-10737,False,11,1.19795000,submitted,0
20240402_sweagent_gpt4,full,django__django-10853,False,12,1.17761000,submitted,0
20240402_sweagent_gpt4,full,django__django-10880,False,33,4.14058000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-10904,False,35,4.02295000,submitted (exit_cost),3
20240402_sweagent_gpt4,full,django__django-10910,False,24,2.71339000,submitted,2
20240402_sweagent_gpt4,full,django__django-10914,True,8,0.75238000,submitted,0
20240402_sweagent_gpt4,full,django__django-10924,False,22,2.57490000,submitted,4
20240402_sweagent_gpt4,full,django__django-10939,False,33,4.03642000,exit_cost,0
20240402_sweagent_gpt4,full,django__django-10957,False,29,4.11153000,submitted (exit_cost),15
20240402_sweagent_gpt4,full,django__django-10973,False,27,4.09339000,exit_cost,22
20240402_sweagent_gpt4,full,django__django-10989,False,8,0.72241000,submitted,0
20240402_sweagent_gpt4,full,django__django-10997,False,14,1.33498000,submitted,0
20240402_sweagent_gpt4,full,django__django-10999,False,12,1.18135000,submitted,0
20240402_sweagent_gpt4,full,django__django-11001,False,16,1.65969000,submitted,0
20240402_sweagent_gpt4,full,django__django-11003,False,32,4.09405000,submitted (exit_cost),6
20240402_sweagent_gpt4,full,django__django-11011,False,22,2.40336000,submitted,1
20240402_sweagent_gpt4,full,django__django-11019,False,17,1.99106000,submitted,0
20240402_sweagent_gpt4,full,django__django-11030,False,23,3.78123000,submitted,7
20240402_sweagent_gpt4,full,django__django-11034,True,21,2.14718000,submitted,1
20240402_sweagent_gpt4,full,django__django-11039,True,31,4.11463000,submitted (exit_cost),25
20240402_sweagent_gpt4,full,django__django-11044,True,14,1.30271000,submitted,1
20240402_sweagent_gpt4,full,django__django-11049,False,21,2.23433000,submitted,10
20240402_sweagent_gpt4,full,django__django-11053,False,16,1.51319000,submitted,3
20240402_sweagent_gpt4,full,django__django-11057,False,31,4.01539000,submitted (exit_cost),22
20240402_sweagent_gpt4,full,django__django-11062,False,33,4.07790000,submitted (exit_cost),11
20240402_sweagent_gpt4,full,django__django-11066,True,4,0.32810000,submitted,0
20240402_sweagent_gpt4,full,django__django-11070,False,8,0.74089000,submitted,0
20240402_sweagent_gpt4,full,django__django-11085,False,21,2.33086000,submitted,5
20240402_sweagent_gpt4,full,django__django-11087,False,25,4.15196000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-11088,False,10,1.05572000,submitted,2
20240402_sweagent_gpt4,full,django__django-11095,False,10,0.91850000,submitted,0
20240402_sweagent_gpt4,full,django__django-11096,True,27,3.18124000,submitted,0
20240402_sweagent_gpt4,full,django__django-11099,True,18,1.61870000,submitted,0
20240402_sweagent_gpt4,full,django__django-11115,False,5,0.45182000,submitted,0
20240402_sweagent_gpt4,full,django__django-11119,True,16,1.57919000,submitted,0
20240402_sweagent_gpt4,full,django__django-11129,False,34,4.17468000,submitted (exit_cost),2
20240402_sweagent_gpt4,full,django__django-11133,True,14,1.27723000,submitted,0
20240402_sweagent_gpt4,full,django__django-11138,False,28,3.43065000,submitted,6
20240402_sweagent_gpt4,full,django__django-11141,False,13,1.41631000,submitted,0
20240402_sweagent_gpt4,full,django__django-11149,False,30,4.00647000,submitted (exit_cost),14
20240402_sweagent_gpt4,full,django__django-11155,True,7,0.70308000,submitted,0
20240402_sweagent_gpt4,full,django__django-11163,True,12,1.06915000,submitted,0
20240402_sweagent_gpt4,full,django__django-11165,False,34,4.11464000,exit_cost,28
20240402_sweagent_gpt4,full,django__django-11166,False,5,0.44032000,submitted,1
20240402_sweagent_gpt4,full,django__django-11169,False,34,4.11879000,submitted (exit_cost),4
20240402_sweagent_gpt4,full,django__django-11170,False,8,0.74602000,submitted,0
20240402_sweagent_gpt4,full,django__django-11177,False,20,3.36114000,submitted,1
20240402_sweagent_gpt4,full,django__django-11179,False,16,1.68701000,submitted,1
20240402_sweagent_gpt4,full,django__django-11185,False,22,2.63363000,submitted,1
20240402_sweagent_gpt4,full,django__django-11194,False,36,4.06410000,submitted (exit_cost),30
20240402_sweagent_gpt4,full,django__django-11205,False,24,2.90088000,submitted,0
20240402_sweagent_gpt4,full,django__django-11206,False,30,4.02732000,submitted (exit_cost),22
20240402_sweagent_gpt4,full,django__django-11211,False,18,2.13512000,submitted,0
20240402_sweagent_gpt4,full,django__django-11214,False,35,4.00697000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-11216,False,23,2.86428000,submitted,7
20240402_sweagent_gpt4,full,django__django-11234,False,35,4.03319000,submitted (exit_cost),26
20240402_sweagent_gpt4,full,django__django-11239,False,8,0.78433000,submitted,0
20240402_sweagent_gpt4,full,django__django-11244,False,11,1.09966000,submitted,0
20240402_sweagent_gpt4,full,django__django-11260,False,13,1.31009000,submitted,1
20240402_sweagent_gpt4,full,django__django-11265,False,14,1.56798000,submitted,0
20240402_sweagent_gpt4,full,django__django-11270,False,14,1.24189000,submitted,4
20240402_sweagent_gpt4,full,django__django-11276,True,11,0.97215000,submitted,0
20240402_sweagent_gpt4,full,django__django-11278,False,11,1.03215000,submitted,2
20240402_sweagent_gpt4,full,django__django-11279,False,30,3.70257000,submitted,1
20240402_sweagent_gpt4,full,django__django-11281,False,14,4.17147000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-11283,False,12,1.14214000,submitted,2
20240402_sweagent_gpt4,full,django__django-11292,False,9,0.90387000,submitted,0
20240402_sweagent_gpt4,full,django__django-11294,False,30,4.08563000,submitted (exit_cost),8
20240402_sweagent_gpt4,full,django__django-11298,False,35,4.03810000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-11299,False,31,4.04877000,exit_cost,0
20240402_sweagent_gpt4,full,django__django-11323,False,13,1.21135000,submitted,0
20240402_sweagent_gpt4,full,django__django-11333,False,15,1.52394000,submitted,0
20240402_sweagent_gpt4,full,django__django-11334,False,14,1.57469000,submitted,5
20240402_sweagent_gpt4,full,django__django-11354,False,20,2.06808000,submitted,1
20240402_sweagent_gpt4,full,django__django-11356,False,34,4.06752000,submitted (exit_cost),5
20240402_sweagent_gpt4,full,django__django-11359,False,35,4.08201000,submitted (exit_cost),3
20240402_sweagent_gpt4,full,django__django-11374,True,11,1.02820000,submitted,0
20240402_sweagent_gpt4,full,django__django-11377,False,14,1.35770000,submitted,0
20240402_sweagent_gpt4,full,django__django-11383,False,38,4.10245000,submitted (exit_cost),9
20240402_sweagent_gpt4,full,django__django-11389,True,34,4.04756000,submitted (exit_cost),3
20240402_sweagent_gpt4,full,django__django-11396,False,24,2.85769000,submitted,0
20240402_sweagent_gpt4,full,django__django-11399,True,8,0.75754000,submitted,0
20240402_sweagent_gpt4,full,django__django-11400,False,10,1.07905000,submitted,4
20240402_sweagent_gpt4,full,django__django-11405,False,10,0.92228000,submitted,0
20240402_sweagent_gpt4,full,django__django-11417,False,11,1.16554000,submitted,4
20240402_sweagent_gpt4,full,django__django-11422,False,26,2.94030000,submitted,3
20240402_sweagent_gpt4,full,django__django-11423,False,31,4.04731000,submitted (exit_cost),17
20240402_sweagent_gpt4,full,django__django-11428,True,28,2.89685000,submitted,8
20240402_sweagent_gpt4,full,django__django-11433,False,35,4.10572000,submitted (exit_cost),2
20240402_sweagent_gpt4,full,django__django-11446,False,4,0.32371000,submitted,0
20240402_sweagent_gpt4,full,django__django-11451,True,21,2.21592000,submitted,1
20240402_sweagent_gpt4,full,django__django-11457,False,32,4.01177000,exit_cost,27
20240402_sweagent_gpt4,full,django__django-11477,False,35,4.00706000,submitted (exit_cost),2
20240402_sweagent_gpt4,full,django__django-11490,False,13,1.26298000,submitted,0
20240402_sweagent_gpt4,full,django__django-11501,False,10,0.97930000,submitted,1
20240402_sweagent_gpt4,full,django__django-11514,True,7,0.66774000,submitted,0
20240402_sweagent_gpt4,full,django__django-11517,False,16,1.61739000,submitted,2
20240402_sweagent_gpt4,full,django__django-11525,False,11,1.14102000,submitted,0
20240402_sweagent_gpt4,full,django__django-11527,False,13,1.14265000,submitted,1
20240402_sweagent_gpt4,full,django__django-11532,False,11,1.06603000,submitted,1
20240402_sweagent_gpt4,full,django__django-11539,False,18,2.18296000,submitted,5
20240402_sweagent_gpt4,full,django__django-11543,False,10,1.06310000,submitted,0
20240402_sweagent_gpt4,full,django__django-11550,False,12,1.20055000,submitted,1
20240402_sweagent_gpt4,full,django__django-11551,True,17,1.75802000,submitted,0
20240402_sweagent_gpt4,full,django__django-11555,False,30,4.10398000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,django__django-11559,False,14,1.48025000,submitted,1
20240402_sweagent_gpt4,full,django__django-11560,False,31,3.63603000,submitted,4
20240402_sweagent_gpt4,full,django__django-11564,False,27,3.06444000,submitted,0
20240402_sweagent_gpt4,full,django__django-11583,True,8,0.83360000,submitted,0
20240402_sweagent_gpt4,full,django__django-11584,False,18,1.79047000,submitted,0
20240402_sweagent_gpt4,full,django__django-11591,False,20,2.29929000,submitted,3
20240402_sweagent_gpt4,full,django__django-11592,True,9,0.84885000,submitted,0
20240402_sweagent_gpt4,full,django__django-11603,False,8,0.78490000,submitted,0
20240402_sweagent_gpt4,full,django__django-11605,False,34,4.07072000,submitted (exit_cost),25
20240402_sweagent_gpt4,full,django__django-11612,False,33,4.05241000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,django__django-11618,False,11,1.15859000,submitted,2
20240402_sweagent_gpt4,full,django__django-11620,False,33,4.05724000,submitted (exit_cost),17
20240402_sweagent_gpt4,full,django__django-11622,False,39,4.13225000,submitted (exit_cost),4
20240402_sweagent_gpt4,full,django__django-11630,False,32,3.81161000,submitted,15
20240402_sweagent_gpt4,full,django__django-11638,False,22,2.30684000,submitted,11
20240402_sweagent_gpt4,full,django__django-11666,False,12,1.24665000,submitted,0
20240402_sweagent_gpt4,full,django__django-11669,False,26,2.97239000,submitted,1
20240402_sweagent_gpt4,full,django__django-11677,False,21,2.70335000,submitted,3
20240402_sweagent_gpt4,full,django__django-11680,True,17,1.98098000,submitted,1
20240402_sweagent_gpt4,full,django__django-11688,False,34,4.07279000,submitted (exit_cost),17
20240402_sweagent_gpt4,full,django__django-11692,False,19,2.10049000,submitted,1
20240402_sweagent_gpt4,full,django__django-11695,False,4,0.35280000,submitted,0
20240402_sweagent_gpt4,full,django__django-11701,False,16,1.68045000,submitted,0
20240402_sweagent_gpt4,full,django__django-11707,False,34,4.07778000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,django__django-11727,False,12,1.26393000,submitted,0
20240402_sweagent_gpt4,full,django__django-11728,False,28,3.56089000,submitted,2
20240402_sweagent_gpt4,full,django__django-11734,False,32,4.06116000,submitted (exit_cost),6
20240402_sweagent_gpt4,full,django__django-11740,False,31,4.10975000,submitted (exit_cost),6
20240402_sweagent_gpt4,full,django__django-11742,False,9,0.87903000,submitted,0
20240402_sweagent_gpt4,full,django__django-11749,False,35,4.10631000,submitted (exit_cost),3
20240402_sweagent_gpt4,full,django__django-11751,False,15,1.33801000,submitted,0
20240402_sweagent_gpt4,full,django__django-11754,False,18,2.00725000,submitted,1
20240402_sweagent_gpt4,full,django__django-11772,False,29,4.03306000,submitted (exit_cost),17
20240402_sweagent_gpt4,full,django__django-11790,False,6,0.53081000,submitted,1
20240402_sweagent_gpt4,full,django__django-11797,False,31,4.03852000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,django__django-11808,False,21,2.15506000,submitted,2
20240402_sweagent_gpt4,full,django__django-11810,False,32,4.09028000,submitted (exit_cost),2
20240402_sweagent_gpt4,full,django__django-11815,False,24,2.54104000,submitted,1
20240402_sweagent_gpt4,full,django__django-11820,False,33,4.04066000,submitted (exit_cost),15
20240402_sweagent_gpt4,full,django__django-11823,False,29,2.97909000,submitted,1
20240402_sweagent_gpt4,full,django__django-11829,False,30,4.14157000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,django__django-11848,False,27,3.29709000,submitted,0
20240402_sweagent_gpt4,full,django__django-11880,False,35,4.10360000,submitted (exit_cost),22
20240402_sweagent_gpt4,full,django__django-11883,False,18,2.24882000,submitted,0
20240402_sweagent_gpt4,full,django__django-11885,False,21,2.69013000,submitted,0
20240402_sweagent_gpt4,full,django__django-11891,False,14,1.44368000,submitted,1
20240402_sweagent_gpt4,full,django__django-11893,False,22,2.10805000,submitted,1
20240402_sweagent_gpt4,full,django__django-11894,False,12,1.21736000,submitted,0
20240402_sweagent_gpt4,full,django__django-11903,False,7,0.68506000,submitted,0
20240402_sweagent_gpt4,full,django__django-11905,False,22,2.36664000,submitted,0
20240402_sweagent_gpt4,full,django__django-11910,False,32,4.12493000,submitted (exit_cost),8
20240402_sweagent_gpt4,full,django__django-11911,False,15,1.74419000,submitted,0
20240402_sweagent_gpt4,full,django__django-11916,False,23,3.65162000,submitted,2
20240402_sweagent_gpt4,full,django__django-11951,True,5,0.43417000,submitted,1
20240402_sweagent_gpt4,full,django__django-11964,False,24,2.54028000,submitted,0
20240402_sweagent_gpt4,full,django__django-11983,False,16,1.81145000,submitted,3
20240402_sweagent_gpt4,full,django__django-11991,False,14,1.65252000,submitted,1
20240402_sweagent_gpt4,full,django__django-11997,False,25,2.96092000,submitted,7
20240402_sweagent_gpt4,full,django__django-11999,False,35,4.00935000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-12009,False,9,0.78391000,submitted,0
20240402_sweagent_gpt4,full,django__django-12039,False,23,2.37855000,submitted,2
20240402_sweagent_gpt4,full,django__django-12049,False,33,4.08548000,submitted (exit_cost),7
20240402_sweagent_gpt4,full,django__django-12050,False,28,4.11188000,submitted (exit_cost),2
20240402_sweagent_gpt4,full,django__django-12062,False,32,3.83334000,submitted,2
20240402_sweagent_gpt4,full,django__django-12073,False,34,4.13981000,submitted (exit_cost),4
20240402_sweagent_gpt4,full,django__django-12091,False,7,0.60269000,submitted,0
20240402_sweagent_gpt4,full,django__django-12113,False,30,4.04107000,submitted (exit_cost),8
20240402_sweagent_gpt4,full,django__django-12121,False,20,2.35603000,submitted,2
20240402_sweagent_gpt4,full,django__django-12122,False,33,4.02053000,submitted (exit_cost),5
20240402_sweagent_gpt4,full,django__django-12125,False,15,1.53485000,submitted,0
20240402_sweagent_gpt4,full,django__django-12132,False,10,0.92236000,submitted,0
20240402_sweagent_gpt4,full,django__django-12143,True,10,1.01879000,submitted,0
20240402_sweagent_gpt4,full,django__django-12148,False,27,2.92966000,submitted,6
20240402_sweagent_gpt4,full,django__django-12153,False,7,0.64349000,submitted,1
20240402_sweagent_gpt4,full,django__django-12155,True,10,0.86100000,submitted,0
20240402_sweagent_gpt4,full,django__django-12161,True,9,0.90981000,submitted,0
20240402_sweagent_gpt4,full,django__django-12172,True,14,1.29063000,submitted,3
20240402_sweagent_gpt4,full,django__django-12184,False,18,2.33497000,submitted,0
20240402_sweagent_gpt4,full,django__django-12185,False,34,4.04660000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-12187,False,13,1.41916000,submitted,4
20240402_sweagent_gpt4,full,django__django-12193,True,15,1.45480000,submitted,0
20240402_sweagent_gpt4,full,django__django-12196,False,14,1.33796000,submitted,2
20240402_sweagent_gpt4,full,django__django-12198,False,15,1.44526000,submitted,0
20240402_sweagent_gpt4,full,django__django-12209,False,33,4.08251000,submitted (exit_cost),29
20240402_sweagent_gpt4,full,django__django-12212,False,20,2.72388000,submitted,4
20240402_sweagent_gpt4,full,django__django-12225,False,5,0.41332000,submitted,0
20240402_sweagent_gpt4,full,django__django-12231,True,12,1.11713000,submitted,1
20240402_sweagent_gpt4,full,django__django-12237,True,17,2.04513000,submitted,3
20240402_sweagent_gpt4,full,django__django-12262,False,24,2.44735000,submitted,0
20240402_sweagent_gpt4,full,django__django-12273,False,36,4.07458000,submitted (exit_cost),4
20240402_sweagent_gpt4,full,django__django-12276,False,37,4.13329000,exit_cost,33
20240402_sweagent_gpt4,full,django__django-12281,False,6,0.52189000,submitted,0
20240402_sweagent_gpt4,full,django__django-12284,False,34,4.05641000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-12286,True,9,0.76169000,submitted,0
20240402_sweagent_gpt4,full,django__django-12299,False,21,2.26492000,submitted,0
20240402_sweagent_gpt4,full,django__django-12304,False,33,4.09453000,submitted (exit_cost),2
20240402_sweagent_gpt4,full,django__django-12306,True,8,0.72430000,submitted,2
20240402_sweagent_gpt4,full,django__django-12308,False,34,4.06151000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,django__django-12313,False,12,1.39434000,submitted,0
20240402_sweagent_gpt4,full,django__django-12325,False,34,4.09416000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-12343,False,8,0.79919000,submitted,0
20240402_sweagent_gpt4,full,django__django-12360,False,10,0.99061000,submitted,0
20240402_sweagent_gpt4,full,django__django-12364,False,9,0.93614000,submitted,2
20240402_sweagent_gpt4,full,django__django-12394,False,33,4.00010000,exit_cost,24
20240402_sweagent_gpt4,full,django__django-12396,False,34,4.10525000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-12406,False,34,4.10339000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-12407,False,27,4.13776000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-12419,True,5,0.41467000,submitted,0
20240402_sweagent_gpt4,full,django__django-12430,True,8,0.73521000,submitted,2
20240402_sweagent_gpt4,full,django__django-12431,False,27,3.57808000,submitted,0
20240402_sweagent_gpt4,full,django__django-12441,False,13,1.29123000,submitted,0
20240402_sweagent_gpt4,full,django__django-12453,True,10,1.09577000,submitted,1
20240402_sweagent_gpt4,full,django__django-12458,False,22,2.64030000,submitted,1
20240402_sweagent_gpt4,full,django__django-12464,False,9,0.85778000,submitted,2
20240402_sweagent_gpt4,full,django__django-12469,False,36,4.04507000,submitted (exit_cost),17
20240402_sweagent_gpt4,full,django__django-12470,False,31,4.04549000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-12477,False,23,2.66253000,submitted,4
20240402_sweagent_gpt4,full,django__django-12484,False,33,4.14131000,submitted (exit_cost),9
20240402_sweagent_gpt4,full,django__django-12485,False,34,4.04098000,submitted (exit_cost),18
20240402_sweagent_gpt4,full,django__django-12486,False,31,4.17563000,submitted (exit_cost),19
20240402_sweagent_gpt4,full,django__django-12496,False,36,4.01201000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,django__django-12497,False,13,1.35475000,submitted,0
20240402_sweagent_gpt4,full,django__django-12503,True,13,1.32458000,submitted,0
20240402_sweagent_gpt4,full,django__django-12504,False,7,0.59571000,submitted,0
